"Year","Major_Name","perc_Men","perc_Women","perc_American","perc_Total"
4,"Electrical Engineering ",86.1,13.9,69.9,3.65
4,"Elementary Education ",9.63,90.4,90.4,1.02
4,"Engineering Mechanics ",80.6,19.4,100,0.182
4,"Engineering Physics ",83.3,16.7,99,0.258
4,"English ",33,67,98.2,2.58
4,"Entomology ",53.1,46.9,75,0.081
4,"Environ Engr in Civil Engr ",59.5,40.5,35.1,0.187
4,"Environ Science in Civil Engr ",57.1,42.9,28.6,0.0354
4,"Executive MBA Program ",100,0,100,0.00253
4,"Finance ",67.5,32.5,87.2,2.81
4,"Food Science & Human Nutrition ",23,77,92,1.05
4,"Forestry ",80,20,100,0.0127
4,"French ",23.2,76.8,81.1,0.24
4,"General Curriculum ",43.2,56.6,97.7,9.33
4,"General Engineering ",80.1,19.9,96.9,1.54
4,"Geography ",64,36,81.3,0.19
4,"Geology ",62.8,37.2,82.1,0.197
4,"German ",42.1,57.9,73.7,0.0481
4,"Germanic Lang & Lit ",43.8,56.2,100,0.0405
4,"Graphic Design ",33,67,87.5,0.223
4,"History ",62.9,37.1,96.9,1.7
4,"History of Art ",13.6,86.4,96.6,0.149
4,"Horticulture ",67.6,32.4,100,0.187
4,"Human & Community Development ",15.4,84.6,69.2,0.0658
4,"Human Development & Family St ",5.18,94.8,100,0.488
4,"Human Factors ",50,50,75,0.0101
4,"Human Res & Industrial Rels ",37.6,62.4,83.2,0.377
4,"Humanities ",37.5,62.5,81.2,0.0405
4,"Individual Plans of Study ",0,100,100,0.0101
4,"Industrial Design ",50.6,49.4,96.5,0.215
4,"Industrial Engineering ",64.1,35.9,77.2,0.233
4,"Instrumental Music ",49.1,50.9,91.1,0.283
4,"Integrative Biology ",43.6,56.4,97.9,0.476
4,"Interdisciplinary ",46.2,53.8,100,0.0658
4,"International Studies ",36.5,63.5,97.3,0.645
4,"Intl, Resource, Consumer Econ ",64.8,35.2,100,0.445
4,"Italian ",20,80,90,0.0253
4,"Journalism ",27.3,72.7,90.9,0.0835
4,"Kinesiology ",36,64,96.5,1.51
4,"Landscape Architecture ",49.4,50.6,88.6,0.42
4,"Latin American Studies ",46.7,53.3,93.3,0.038
4,"Law ",57.3,42.4,93.4,1.79
4,"Leisure Studies ",62.7,37,94.3,1.02
4,"Library & Information Science ",29.6,70.4,85.8,0.676
4,"Linguistics ",38.1,61.9,54.6,0.245
4,"Materials Science & Engr ",73.5,26.5,74,1.03
4,"Math & Computer Science ",86.8,12.6,84.9,0.402
4,"Mathematics ",64.4,35.6,82.1,1.58
4,"Mechanical Engineering ",88.7,11.3,86.9,2.57
4,"Media Studies ",25.7,74.3,98,0.256
4,"Microbiology ",40.3,59.7,72.7,0.195
4,"Molecular & Integrative Physi ",62.8,37.2,60.5,0.109
4,"Molecular and Cellular Biology ",42.5,57.5,97.1,1.75
4,"Molecular&Cell Bio-undeclared ",58.3,41.7,83.3,0.0304
4,"Music ",43.1,56.9,69.5,0.681
4,"Music Composition ",91.7,8.33,100,0.0304
4,"Music Education ",39.4,60.6,98.6,0.526
4,"Music History ",25,75,100,0.0101
4,"Musicology ",63.2,36.8,89.5,0.0481
4,"Natural Res & Env Sciences ",53,47,71.3,0.291
4,"Natural Resrcs & Environ Sci ",56.4,43.6,100,0.511
4,"Neuroscience ",49.2,50.8,65.6,0.154
4,"News-Editorial ",36.7,63.3,100,0.324
4,"Nondegree-CE ",27.7,69.2,100,0.164
4,"Nuclear Engineering ",82.6,17.4,78.7,0.392
4,"Nutritional Sciences ",20,80,74.5,0.139
4,"Open Studies ",80,20,100,0.0253
4,"Painting ",41.7,58.3,97.9,0.121
4,"Philosophy ",77.4,22.6,97.8,0.347
4,"Photography ",23.8,76.2,100,0.0531
4,"Physics ",82.6,17.4,72.4,1.24
4,"Plant Biology ",47.4,52.6,68.4,0.0481
4,"Political Science ",59.4,40.5,98,2.38
4,"Portuguese ",50,50,50,0.00506
4,"Professional Pilot ",87.7,12.3,100,0.164
4,"Psychology ",27.4,72.6,94.8,3.44
4,"Regional Planning ",64,36,24,0.0633
4,"Rehabilitation ",0,100,83.3,0.0152
4,"Religious Studies ",52.4,47.6,100,0.0531
4,"Rhetoric ",52.2,47.8,100,0.349
4,"Russian & E European Studies ",45.5,54.5,63.6,0.0278
4,"Russian Lang & Literature ",66.7,33.3,100,0.00759
4,"Sculpture ",47.1,52.9,94.1,0.043
4,"Secondary & Continuing Educ ",37.7,62.3,67.2,0.309
4,"Slavic Languages & Literature ",50,50,50,0.00506
4,"Social Work ",10.1,89.9,96.6,0.752
4,"Sociology ",33.4,66.6,93.3,0.863
4,"Spanish ",31.3,68.4,88.1,0.744
4,"Special Education ",10.7,89.3,86,0.38
4,"Speech & Hearing Science ",4.47,95.5,95.9,0.736
4,"Speech Communication ",43,57,98.3,1.17
4,"Statistics ",54.7,45.3,59.4,0.162
4,"Statistics & Computer Science ",80,20,80,0.038
4,"Systems & Entrepreneurial Engr ",87,13,34.8,0.0582
4,"Teaching of Biological Science ",0,100,100,0.00506
4,"Teaching of Chemistry ",25,75,100,0.0202
4,"Teaching of English Sec Lang ",23.2,76.8,39.3,0.142
4,"Teaching of French ",16.7,83.3,100,0.0152
4,"Teaching of German ",0,100,100,0.00253
4,"Teaching of Latin ",75,25,100,0.0101
4,"Teaching of Mathematics ",100,0,100,0.00253
4,"Teaching of Spanish ",15.4,84.6,100,0.0658
4,"Technical Systems Management ",88.8,11.2,98,0.248
4,"Theatre ",48,52,96.5,0.511
4,"Theoretical & Applied Mechans ",88.4,11.6,30.4,0.175
4,"Urban Planning ",51.1,48.9,90.8,0.44
4,"Veterinary Medicine ",22.4,77.6,99.5,1
4,"VMS - Veterinary Biosciences ",31.2,68.8,62.5,0.0405
4,"VMS - Veterinary Pathobiology ",37,63,51.9,0.0683
4,"VMS-Veterinary Clinical Medcne ",62.1,37.9,51.7,0.0734
4,"Voice ",19.2,80.8,96.2,0.0658
5,"Accountancy ",54.5,45.4,84.4,3.11
5,"Actuarial Science ",67.1,32.9,85.9,0.615
5,"Advertising ",25.5,74.5,95.1,0.649
5,"Aero & Astro Engineering ",87.5,12.5,68.8,0.118
5,"Aerospace Engineering ",85.6,14.4,93.4,0.941
5,"African Studies ",36.4,63.6,90.9,0.0272
5,"Agr & Consumer Economics ",59,41,36.1,0.205
5,"Agr & Environmental Cmc & Educ ",29.1,70.9,100,0.254
5,"Agr Engineering & Agr Science ",91.9,8.11,97.3,0.0913
5,"Agribusiness, Farm & Financial ",73.2,26.2,99.7,0.783
5,"Agricultural Economics ",100,0,100,0.00247
5,"Agricultural Education ",14.3,85.7,85.7,0.0173
5,"Agricultural Engineering ",82.8,17.2,77.4,0.23
5,"Animal Sciences ",27.3,72.7,96,1.48
5,"Anthropology ",34.8,65.2,89.4,0.511
5,"Applied Mathematics ",42.9,57.1,22.9,0.0864
5,"Architectural Studies ",57.7,42.3,94.9,1.32
5,"Architecture ",56.2,43.3,84.7,0.501
5,"Art and Design ",52.1,47.9,87.5,0.118
5,"Art Education ",16,84,93.4,0.262
5,"Art History ",9.68,90.3,80.6,0.0765
5,"Asian Studies ",30.8,69.2,46.2,0.0321
5,"Astronomy ",59.7,40.3,66.7,0.178
5,"Atmospheric Sciences ",70.3,29.7,56.8,0.0913
5,"Audiology ",0,100,100,0.00987
5,"Aviation Human Factors ",91.8,8.2,100,0.452
5,"Biochemistry ",53.6,46.2,81.4,0.931
5,"Bioengineering ",67.2,32.8,90.2,0.151
5,"Biology ",46.3,53.6,95.3,2.64
5,"Biophysics & Computnl Biology ",69.1,30.9,39.7,0.168
5,"Broadcast Journalism ",38,62,100,0.195
5,"Business Administration ",51.5,48.5,85.3,2.35
5,"Business Administration (MBA) ",71.8,28.2,58.8,0.588
5,"Cell and Structural Biology ",47.3,52.7,44.6,0.183
5,"Chemical Engineering ",64.7,35,78.9,0.973
5,"Chemical Physics ",80,20,70,0.0247
5,"Chemistry ",59.1,40.9,89.2,1.88
5,"Civil Engineering ",80.6,19.4,77.4,1.96
5,"Classical Philology ",71.4,28.6,71.4,0.0173
5,"Classics ",47.1,52.9,97.1,0.0839
5,"Communications ",43.1,56.9,64.7,0.126
5,"Community Health ",22.8,77.2,99.3,1.1
5,"Comparative Literature ",23.4,76.6,53.1,0.158
5,"Computer Engineering ",92.4,7.46,90.4,1.39
5,"Computer Science ",88.6,11.2,72.7,2.63
5,"Consumer and Textile Marketing ",3.7,96.3,100,0.133
5,"Crafts ",31.8,68.2,100,0.0543
5,"Creative Writing ",38.1,61.9,100,0.0518
5,"Crop Sciences ",65.1,34.2,84.6,0.368
5,"Curric Unassigned ",60.6,39.1,94.8,0.896
5,"Dance ",12.1,87.9,92.4,0.163
5,"E Asian Languages & Cultures ",52.2,47.8,74.6,0.165
5,"Early Childhood Education ",3.33,96.7,96.7,0.148
5,"Economics ",75.7,24.3,73.1,2.16
5,"Ed Organization and Leadership ",37,63,96.9,0.314
5,"Educ Voc Tech ",33.7,66.3,64.2,0.235
5,"Education ",33.3,66.7,83.3,0.0148
5,"Education General ",11.2,88.4,99.3,0.704
5,"Educational Policy Studies ",30.4,69.6,85.9,0.333
5,"Educational Psychology ",27.4,72.6,54.8,0.306
5,"Electrical Engineering ",87,13,70.8,3.47
5,"Elementary Education ",8.82,91.2,90.2,1.01
5,"Engineering Mechanics ",80.8,19.2,98.7,0.193
5,"Engineering Physics ",86.1,13.9,97,0.249
5,"English ",31.5,68.4,98,2.61
5,"Entomology ",48.5,51.5,75.8,0.0815
5,"Environ Engr in Civil Engr ",54.1,45.9,47.5,0.151
5,"Environ Science in Civil Engr ",64.3,35.7,28.6,0.0346
5,"Finance ",69.8,29.9,88.6,2.61
5,"Food Science & Human Nutrition ",24.8,75.2,91.6,1.09
5,"Forestry ",100,0,100,0.00247
5,"French ",28.4,71.6,87.3,0.252
5,"General Curriculum ",44.7,55.2,97.2,9.75
5,"General Engineering ",81.6,18.4,97,1.54
5,"Geography ",69.5,30.5,80.5,0.202
5,"Geology ",63.4,36.6,82.8,0.23
5,"German ",34.8,65.2,69.6,0.0568
5,"Germanic Lang & Lit ",56.5,43.5,100,0.0568
5,"Graphic Design ",28,72,92,0.185
5,"History ",60.2,39.7,96.1,1.71
5,"History of Art ",9.62,90.4,96.2,0.128
5,"Horticulture ",66.7,33.3,100,0.178
5,"Human & Community Development ",19.4,80.6,80.6,0.0765
5,"Human Development & Family St ",6.02,93.5,100,0.533
5,"Human Factors ",50,50,83.3,0.0148
5,"Human Res & Industrial Rels ",36.2,63.8,82.3,0.348
5,"Humanities ",71.4,28.6,100,0.0173
5,"Individual Plans of Study ",40,60,100,0.0123
5,"Industrial Design ",48,52,93.9,0.242
5,"Industrial Engineering ",66.7,33.3,77.8,0.2
5,"Instrumental Music ",42.6,57.4,91,0.301
5,"Integrative Biology ",45,55,97.2,0.62
5,"Interdisciplinary ",47.4,52.6,97.4,0.0938
5,"International Studies ",29,71,95.3,0.783
5,"Intl, Resource, Consumer Econ ",60.3,39.7,99.4,0.43
5,"Italian ",20,80,90,0.0247
5,"Journalism ",35.5,64.5,87.1,0.0765
5,"Kinesiology ",39.7,60.3,97.3,1.62
5,"Landscape Architecture ",58.9,41.1,88,0.39
5,"Latin American Studies ",35.7,64.3,100,0.0346
5,"Law ",59.4,40.4,92.4,1.65
5,"Leisure Studies ",61.4,38.3,94.5,1.04
5,"Library & Information Science ",27.5,72.5,86.2,0.61
5,"Linguistics ",40.8,59.2,64.1,0.254
5,"Materials Science & Engr ",75.2,24.8,71.8,0.945
5,"Math & Computer Science ",91.4,7.81,87.5,0.316
5,"Mathematics ",64.3,35.7,82.1,1.51
5,"Mechanical Engineering ",88.2,11.5,86.4,2.6
5,"Media Studies ",27.9,72.1,96.7,0.301
5,"Microbiology ",43,57,65.1,0.212
5,"Molecular & Integrative Physi ",56.8,43.2,48.6,0.0913
5,"Molecular and Cellular Biology ",40.8,59.1,97.4,1.96
5,"Molecular&Cell Bio-undeclared ",55.6,44.4,83.3,0.0444
5,"Music ",45.2,54.8,69.7,0.726
5,"Music Composition ",88.9,11.1,88.9,0.0222
5,"Music Education ",44.5,55.5,98.7,0.56
5,"Music History ",0,100,100,0.00247
5,"Musicology ",50,50,80,0.0247
5,"Natural Res & Env Sciences ",51.1,48.9,75.5,0.232
5,"Natural Resrcs & Environ Sci ",62.2,37.8,99.5,0.484
5,"Neuroscience ",44.1,55.9,69.5,0.146
5,"News-Editorial ",38.4,61.6,100,0.309
5,"Nondegree-CE ",33.7,66.3,100,0.212
5,"Nuclear Engineering ",85.5,14.5,79.9,0.392
5,"Nutritional Sciences ",18.9,81.1,71.7,0.131
5,"Open Studies ",75,25,95,0.0494
5,"Painting ",33.3,66.7,97.9,0.118
5,"Philosophy ",76.6,23.4,97.1,0.338
5,"Photography ",33.3,66.7,100,0.0815
5,"Physics ",83.4,16.6,70.8,1.19
5,"Plant Biology ",50,50,75,0.0494
5,"Political Science ",60.3,39.4,98.3,2.63
5,"Portuguese ",50,50,50,0.00494
5,"Professional Pilot ",90.3,9.72,98.6,0.178
5,"Psychology ",27.7,72.3,94.6,3.4
5,"Recreation, Sport, and Tourism ",61.1,38.9,97.2,0.0889
5,"Regional Planning ",57.1,42.9,21.4,0.0691
5,"Rehabilitation ",16.7,83.3,83.3,0.0148
5,"Religious Studies ",58.6,41.4,96.6,0.0716
5,"Rhetoric ",53.7,46.3,100,0.331
5,"Russian & E European Studies ",66.7,33.3,100,0.0296
5,"Russian Lang & Literature ",25,75,100,0.00987
5,"Sculpture ",53.3,46.7,100,0.037
5,"Secondary & Continuing Educ ",42.9,57.1,62.5,0.276
5,"Slavic Languages & Literature ",50,50,0,0.00987
5,"Social Work ",6.57,93.4,96.2,0.713
5,"Sociology ",33.1,66.9,95.1,1.17
5,"Spanish ",30.5,69.5,90.3,0.785
5,"Special Education ",9.55,90.4,89.2,0.388
5,"Speech & Hearing Science ",4.36,95.6,95,0.736
5,"Speech Communication ",41.1,58.9,97.8,1.24
5,"Statistics ",57.1,42.9,62.3,0.19
5,"Statistics & Computer Science ",90,10,80,0.0247
5,"Systems & Entrepreneurial Engr ",88.9,11.1,33.3,0.0667
5,"Teaching of Biological Science ",0,100,100,0.00247
5,"Teaching of Chemistry ",25,75,100,0.0296
5,"Teaching of English Sec Lang ",24,76,26,0.123
5,"Teaching of French ",25,75,87.5,0.0197
5,"Teaching of German ",50,50,100,0.00494
5,"Teaching of Latin ",100,0,100,0.00247
5,"Teaching of Mathematics ",50,50,100,0.00494
5,"Teaching of Spanish ",11.1,88.9,100,0.0667
5,"Technical Systems Management ",93.5,6.52,97.8,0.227
5,"Theatre ",47.2,52.8,97,0.491
5,"Theoretical & Applied Mechans ",86.6,13.4,37.3,0.165
5,"Urban Planning ",51.3,48.7,91.1,0.471
5,"Veterinary Medicine ",22.8,77.2,99.5,0.997
5,"VMS - Veterinary Biosciences ",33.3,66.7,61.1,0.0444
5,"VMS - Veterinary Pathobiology ",25,75,66.7,0.0592
5,"VMS-Veterinary Clinical Medcne ",44.4,55.6,51.9,0.0667
5,"Voice ",15.8,84.2,100,0.0469
6,"Accountancy ",54.4,45.3,83.6,2.97
6,"Actuarial Science ",67.3,32.7,81.1,0.682
6,"Advertising ",26.8,73.2,94,0.886
6,"Aero & Astro Engineering ",87.5,12.5,58.3,0.0583
6,"Aerospace Engineering ",87.3,12.7,92.5,1.03
6,"African Studies ",55.6,44.4,66.7,0.0219
6,"Agr & Consumer Economics ",61.9,38.1,83.3,0.816
6,"Agr & Environmental Cmc & Educ ",24.5,75.5,100,0.238
6,"Agr Engineering & Agr Science ",90.5,9.52,100,0.102
6,"Agribusiness, Farm & Financial ",76,23.6,99.5,0.505
6,"Agricultural Education ",66.7,33.3,66.7,0.00729
6,"Agricultural Engineering ",81.8,18.2,67,0.214
6,"American Civilization ",100,0,100,0.00243
6,"Animal Sciences ",29.5,70.3,95.1,1.5
6,"Anthropology ",31.1,68.9,91.4,0.539
6,"Applied Mathematics ",59.3,40.7,22.2,0.0656
6,"Architectural Studies ",59,41,96.8,1.27
6,"Architecture ",60.3,39.7,79.3,0.563
6,"Art and Design ",55,45,85,0.0971
6,"Art Education ",16.7,83.3,91.7,0.262
6,"Art Foundation ",38.5,61.5,95.4,0.316
6,"Art History ",14.3,85.7,85.7,0.085
6,"Asian Studies ",50,50,70,0.0243
6,"Astronomy ",59.4,40.6,65.6,0.155
6,"Atmospheric Sciences ",65.8,34.2,50,0.0923
6,"Audiology ",0,100,100,0.017
6,"Aviation Human Factors ",90.2,9.76,100,0.398
6,"Biochemistry ",53.6,46.4,82.3,0.77
6,"Bioengineering ",59.4,40.6,87.1,0.245
6,"Bioinformatics ",50,50,25,0.00971
6,"Biology ",43.5,56.2,94.2,1.93
6,"Biophysics & Computnl Biology ",74.6,25.4,33.9,0.143
6,"Broadcast Journalism ",38.1,61.9,100,0.204
6,"Business Administration ",50.7,49.3,85,1.83
6,"Business Administration (MBA) ",71.1,28.6,64.4,0.799
6,"Cell and Structural Biology ",51.5,48.5,45.6,0.165
6,"Chemical Engineering ",64,35.8,82.1,1.03
6,"Chemical Physics ",81.8,18.2,72.7,0.0267
6,"Chemistry ",60.5,39.4,88.8,2.05
6,"Civil Engineering ",80.5,19.5,77.8,1.93
6,"Classical Philology ",50,50,75,0.00971
6,"Classics ",57.9,42.1,97.4,0.0923
6,"Communications ",50,50,73.3,0.146
6,"Community Health ",21.1,78.9,99.6,1.21
6,"Comparative Literature ",25.8,74.2,58.1,0.151
6,"Computer Engineering ",92,7.55,90.4,1.16
6,"Computer Science ",87.8,12,70.2,2.4
6,"Consumer and Textile Marketing ",3.23,96.8,100,0.0753
6,"Crafts ",26.1,73.9,95.7,0.0559
6,"Creative Writing ",40,60,95,0.0486
6,"Crop Sciences ",68,32,86.3,0.372
6,"Curric Unassigned ",60.1,39.8,93.2,1.83
6,"Dance ",10.1,89.9,94.2,0.168
6,"E Asian Languages & Cultures ",50,50,76.7,0.219
6,"Early Childhood Education ",0,100,98.1,0.129
6,"Economics ",74,25.7,72.7,2.35
6,"Ed Organization and Leadership ",34.6,65.4,99.4,0.435
6,"Educ Voc Tech ",31.9,68.1,65.2,0.168
6,"Education ",100,0,100,0.00486
6,"Education General ",8.79,90.1,98.9,0.221
6,"Educational Policy Studies ",35.7,64.3,84.5,0.313
6,"Educational Psychology ",27.3,72.7,59.1,0.321
6,"Electrical & Computer Engr ",82.8,17.2,47.9,0.396
6,"Electrical Engineering ",87.4,12.6,71.4,2.9
6,"Elementary Education ",7.71,92,90.7,0.945
6,"Engineering Mechanics ",75.8,24.2,100,0.151
6,"Engineering Physics ",88.7,11.3,96,0.301
6,"English ",31.7,68.1,98,2.6
6,"Entomology ",51.4,48.6,75.7,0.0898
6,"Environ Engr in Civil Engr ",58.6,41.4,41.4,0.141
6,"Environ Science in Civil Engr ",62.5,37.5,25,0.0389
6,"Finance ",72,27.9,82.1,2.36
6,"Food Science & Human Nutrition ",25.6,74.4,91.1,1.01
6,"French ",24.3,75.7,91,0.27
6,"General Curriculum ",45.3,54.6,96.8,8.82
6,"General Engineering ",80.9,19.1,95.5,1.41
6,"Geography ",62.7,37.3,79.5,0.202
6,"Geology ",64.9,35.1,83,0.228
6,"German ",34.8,65.2,78.3,0.0559
6,"Germanic Lang & Lit ",59.4,40.6,100,0.0777
6,"Graphic Design ",34.7,65.3,96,0.182
6,"History ",60.3,39.5,96.6,1.66
6,"History of Art ",8.33,91.7,95.8,0.117
6,"Horticulture ",65.3,34.7,100,0.175
6,"Human & Community Development ",21.4,78.6,75,0.068
6,"Human Development & Family St ",9.01,91,100,0.539
6,"Human Factors ",75,25,87.5,0.0194
6,"Human Res & Industrial Rels ",32.4,67.6,78.8,0.413
6,"Human Resource Education ",50,50,81.8,0.0534
6,"Humanities ",37.5,62.5,100,0.0194
6,"Individual Plans of Study ",77.8,22.2,100,0.0219
6,"Industrial Design ",54,46,96,0.243
6,"Industrial Engineering ",71.6,28.4,75.3,0.197
6,"Instrumental Music ",44.9,54.4,94.1,0.33
6,"Integrative Biology ",46.5,53.5,98.7,0.731
6,"Interdisciplinary ",51.3,48.7,94.9,0.0947
6,"International Studies ",28.7,71.3,93.5,0.864
6,"Intl, Resource, Consumer Econ ",58.6,41.4,100,0.282
6,"Italian ",16.7,83.3,83.3,0.0291
6,"Journalism ",38.5,61.5,84.6,0.0631
6,"Kinesiology ",38.3,61.7,96.9,1.64
6,"Landscape Architecture ",55.6,44.4,90.1,0.367
6,"Latin American Studies ",50,50,100,0.0243
6,"Law ",61.7,38.2,91.6,1.62
6,"Leisure Studies ",64.4,35.6,91.9,0.362
6,"Library & Information Science ",27.1,72.9,86.1,0.646
6,"Linguistics ",39.5,60.5,69.4,0.301
6,"Materials Science & Engr ",74.4,25.6,73.4,0.979
6,"Math & Computer Science ",92.5,6.67,89.2,0.291
6,"Mathematics ",62.4,37.6,82.5,1.43
6,"Mechanical Engineering ",88.2,11.6,85.4,2.62
6,"Media Studies ",34.4,65.6,96.1,0.311
6,"Microbiology ",42.7,57.3,61.3,0.182
6,"Molecular & Integrative Physi ",54.3,45.7,51.4,0.085
6,"Molecular and Cellular Biology ",46.1,53.7,97,2.29
6,"Molecular&Cell Bio-undeclared ",33.3,66.7,62.2,0.109
6,"Music ",45.8,53.8,66.5,0.789
6,"Music Composition ",83.3,16.7,91.7,0.0291
6,"Music Education ",47,53,98.8,0.614
6,"Music History ",50,50,100,0.00486
6,"Musicology ",33.3,66.7,66.7,0.0219
6,"Natural Res & Env Sciences ",47.5,52.5,73.7,0.24
6,"Natural Resrcs & Environ Sci ",57.3,42.7,100,0.512
6,"Neuroscience ",37.9,62.1,70.7,0.141
6,"News-Editorial ",38.2,61.8,100,0.35
6,"Nondegree-CE ",28.6,71.4,100,0.17
6,"Nuclear Engineering ",85.8,14.2,78.4,0.393
6,"Nutritional Sciences ",24.6,75.4,78.7,0.148
6,"Open Studies ",81.8,18.2,95.5,0.0534
6,"Painting ",37,63,97.8,0.112
6,"Philosophy ",78.8,21.2,97.7,0.321
6,"Photography ",40.6,59.4,100,0.0777
6,"Physics ",84,15.8,65.5,1.15
6,"Plant Biology ",47.8,52.2,73.9,0.0559
6,"Political Science ",56.7,43.2,97.1,2.71
6,"Portuguese ",50,50,0,0.00486
6,"Pre-Early Chld/Elem Ed/Spec Ed ",11.7,88.3,99.5,0.457
6,"Professional Pilot ",92.4,7.61,97.8,0.223
6,"Psychology ",28.3,71.6,94.5,3.52
6,"Recreation, Sport, and Tourism ",59.3,40.3,94.5,0.704
6,"Regional Planning ",53.8,46.2,30.8,0.0631
6,"Rehabilitation ",25,75,75,0.00971
6,"Religious Studies ",65.2,34.8,100,0.0559
6,"Rhetoric ",46.8,53.2,100,0.265
6,"Russian & E European Studies ",75,25,100,0.0291
6,"Russian Lang & Literature ",33.3,66.7,100,0.0146
6,"Russian, E Eur, Eurasian St ",100,0,100,0.00729
6,"Sculpture ",58.3,41.7,100,0.0291
6,"Secondary & Continuing Educ ",35.8,64.2,65.1,0.257
6,"Slavic Languages & Literature ",50,50,37.5,0.0194
6,"Social Work ",6.69,93.3,95.3,0.617
6,"Sociology ",36.3,63.5,95.1,1.24
6,"Spanish ",26.7,73.3,91.4,0.908
6,"Special Education ",11,89,89.6,0.374
6,"Speech & Hearing Science ",3.19,96.5,96.5,0.76
6,"Speech Communication ",43.1,56.9,97.8,1.44
6,"Statistics ",57.3,42.7,60,0.182
6,"Statistics & Computer Science ",81.8,18.2,90.9,0.0267
6,"Systems & Entrepreneurial Engr ",93.5,6.45,25.8,0.0753
6,"Teaching of Biological Science ",0,100,100,0.00243
6,"Teaching of Chemistry ",33.3,66.7,83.3,0.0146
6,"Teaching of English Sec Lang ",22.2,77.8,42.6,0.131
6,"Teaching of French ",40,60,80,0.0121
6,"Teaching of German ",25,75,100,0.00971
6,"Teaching of Latin ",50,50,100,0.00486
6,"Teaching of Mathematics ",0,100,100,0.00486
6,"Teaching of Spanish ",10,90,100,0.0729
6,"Technical Systems Management ",94.2,4.65,98.8,0.209
6,"Theatre ",47.3,52.7,96.2,0.452
6,"Theoretical & Applied Mechans ",85.2,14.8,36.1,0.148
6,"Urban Planning ",57.9,42.1,91.1,0.491
6,"Veterinary Medical Science ",0,100,100,0.00243
6,"Veterinary Medicine ",21.5,78.5,99.5,1
6,"VMS - Veterinary Biosciences ",38.9,61.1,50,0.0437
6,"VMS - Veterinary Pathobiology ",29.4,70.6,58.8,0.0413
